factor,num_negative,topK,loss,HR,NDCG,type
8,1,1,0.9719,0.0262,0.0262,activity layer
8,1,5,1.0478,0.0914,0.0532,activity layer
8,1,10,1.0086,0.1681,0.0761,activity layer
8,5,1,0.3954,0.0605,0.0605,activity layer
8,5,5,0.429,0.1492,0.0958,activity layer
8,5,10,0.408,0.2842,0.1463,activity layer
8,10,1,0.2662,0.0625,0.0625,activity layer
8,10,5,0.2702,0.2075,0.1383,activity layer
8,10,10,0.2696,0.3124,0.1607,activity layer
16,1,1,0.9525,0.0193,0.0193,activity layer
16,1,5,1.3502,0.086,0.0555,activity layer
16,1,10,0.9802,0.1234,0.0642,activity layer
16,5,1,0.3934,0.0559,0.0559,activity layer
16,5,5,0.3941,0.194,0.1228,activity layer
16,5,10,0.4342,0.2565,0.1299,activity layer
16,10,1,0.275,0.069,0.069,activity layer
16,10,5,0.2669,0.1778,0.1185,activity layer
16,10,10,0.2721,0.3205,0.161,activity layer
32,1,1,1.1125,0.0285,0.0285,activity layer
32,1,5,1.1169,0.0794,0.0481,activity layer
32,1,10,1.1534,0.1315,0.0694,activity layer
32,5,1,0.4121,0.0336,0.0336,activity layer
32,5,5,0.4006,0.1975,0.1227,activity layer
32,5,10,0.4132,0.2707,0.1367,activity layer
32,10,1,0.2966,0.0656,0.0656,activity layer
32,10,5,0.2692,0.1967,0.1259,activity layer
32,10,10,0.2646,0.3328,0.1804,activity layer
64,1,1,1.1226,0.0312,0.0312,activity layer
64,1,5,1.0862,0.0783,0.0492,activity layer
64,1,10,1.1165,0.1535,0.0745,activity layer
64,5,1,0.4353,0.0343,0.0343,activity layer
64,5,5,0.4013,0.16,0.0983,activity layer
64,5,10,0.4144,0.2784,0.1407,activity layer
64,10,1,0.2792,0.0463,0.0463,activity layer
64,10,5,0.2644,0.2094,0.1352,activity layer
64,10,10,0.2688,0.3251,0.1626,activity layer
